society;municipality;square_name;ykj_n;ykj_e;level1;level2;level3;level4;level5
Suomenselän Lintutieteellinen Yhdistys ry;Kauhava;Purmojärvi;702;331;1;86.4;150.8;204.8;240.8
Suomenselän Lintutieteellinen Yhdistys ry;Evijärvi;Haapajärvi;702;332;1;86.4;150.8;204.8;240.8
Suomenselän Lintutieteellinen Yhdistys ry;Lappajärvi;Övermark;702;333;1;86.4;150.8;204.8;240.8
BirdLife Keski-Pohjanmaa ry;Veteli;Patana;702;334;1;86.4;150.8;204.8;240.8
Suomenselän Lintutieteellinen Yhdistys ry;Perho;Loukkusaarenneva;702;335;1;86.4;150.8;204.8;240.8
Suomenselän Lintutieteellinen Yhdistys ry;Perho;Muurausneva;702;336;1;86.4;150.8;204.8;240.8
Suomenselän Lintutieteellinen Yhdistys ry;Perho;Jängänjärvi;702;337;1;86.4;150.8;204.8;240.8
Suomenselän Lintutieteellinen Yhdistys ry;Perho;Salamajärvi;702;338;1;86.4;150.8;204.8;240.8
Suomenselän Lintutieteellinen Yhdistys ry;Kinnula;Matkusjoki;702;339;1;86.4;150.8;204.8;240.8
Suomenselän Lintutieteellinen Yhdistys ry;Kinnula;Muhola;702;340;1;86.4;150.8;204.8;240.8
Suomenselän Lintutieteellinen Yhdistys ry;Kinnula;Kuivajärvi;702;341;1;86.4;150.8;204.8;240.8
Keski-Suomen Lintutieteellinen Yhdistys ry;Pihtipudas;Seläntaus;702;342;1;86.4;150.8;204.8;240.8
Keski-Suomen Lintutieteellinen Yhdistys ry;Pihtipudas;Kolima;702;343;1;69.12;120.64;163.84;192.64
Keski-Suomen Lintutieteellinen Yhdistys ry;Pihtipudas;Korppinen;702;344;1;86.4;150.8;204.8;240.8
Keski-Suomen Lintutieteellinen Yhdistys ry;Pihtipudas;Kinturi;702;345;1;86.4;150.8;204.8;240.8
Lintuyhdistys Kuikka ry (Pohjois-Savo);Keitele;Lappamäki;702;346;1;86.4;150.8;204.8;240.8
Lintuyhdistys Kuikka ry (Pohjois-Savo);Pielavesi;Hirvenselkä;702;347;1;69.12;120.64;163.84;192.64
Lintuyhdistys Kuikka ry (Pohjois-Savo);Pielavesi;Vaaraslahti;702;348;1;86.4;150.8;204.8;240.8
Lintuyhdistys Kuikka ry (Pohjois-Savo);Pielavesi;Heinämäki;702;349;1;86.4;150.8;204.8;240.8
Lintuyhdistys Kuikka ry (Pohjois-Savo);Iisalmi;Lappetelä;702;350;1;86.4;150.8;204.8;240.8
Lintuyhdistys Kuikka ry (Pohjois-Savo);Lapinlahti;Lapinlahden keskusta;702;351;1;69.12;120.64;163.84;192.64
Lintuyhdistys Kuikka ry (Pohjois-Savo);Lapinlahti;Mäntylahti;702;352;1;86.4;150.8;204.8;240.8
Lintuyhdistys Kuikka ry (Pohjois-Savo);Lapinlahti;Varpaisjärven keskusta;702;353;1;86.4;150.8;204.8;240.8
Lintuyhdistys Kuikka ry (Pohjois-Savo);Kuopio;Reittiö;702;354;1;86.4;150.8;204.8;240.8
Lintuyhdistys Kuikka ry (Pohjois-Savo);Kuopio;Keyritty;702;355;1;86.4;150.8;204.8;240.8
Lintuyhdistys Kuikka ry (Pohjois-Savo);Kuopio;Ruohomäki;702;356;1;86.4;150.8;204.8;240.8
